loss_train,loss_inf,mse_train,mse_inf,total_time,epoch_time,inference_time,batch_size,epochs,num_classes,img_X,img_Y,device,device_name
0.7028233425104149,0.7200676971635565,0.7028233425104149,0.7200676971635565,21.936171531677246,21.936171531677246,4.184952259063721,1024,1,1,50,50,GPU,GTX1080
0.7028233405524991,0.7200676971635565,0.7028233405524991,0.7200676971635565,24.411102771759033,24.411102771759033,4.054286479949951,128,1,1,50,50,GPU,GTX1080
0.7028233401742677,0.7200676971635565,0.7028233401742677,0.7200676971635565,501.94988679885864,501.94988679885864,4.181673049926758,2,1,1,50,50,GPU,GTX1080
1.348673383951894,0.7200676971635565,1.348673383951894,0.7200676971635565,28.95225238800049,28.95225238800049,4.1240668296813965,2048,1,1,50,50,GPU,GTX1080
0.7680544692335857,0.7200676971635565,0.7680544692335857,0.7200676971635565,31.34839177131653,31.34839177131653,4.184460878372192,256,1,1,50,50,GPU,GTX1080
0.7028233394781935,0.7200676971635565,0.7028233394781935,0.7200676971635565,45.99689745903015,45.99689745903015,4.164968967437744,32,1,1,50,50,GPU,GTX1080
0.7028233374413693,0.7200676971635565,0.7028233374413693,0.7200676971635565,20.73763418197632,20.73763418197632,4.088113069534302,512,1,1,50,50,GPU,GTX1080
0.07946903537526046,0.014990134053656163,0.07946903537526046,0.014990134053656163,43.0558762550354,43.0558762550354,4.2470738887786865,64,1,1,50,50,GPU,GTX1080
0.7028233400839802,0.7200676971635565,0.7028233400839802,0.7200676971635565,130.53094220161438,130.53094220161438,4.180484771728516,8,1,1,50,50,GPU,GTX1080
0.18382775856667835,0.024183439815620388,0.18382775856667835,0.024183439815620388,111.5378270149231,111.5378270149231,11.465332984924316,128,1,1,50,50,GPU,GTX950M
0.033154420712476075,0.01802523931504433,0.033154420712476075,0.01802523931504433,1260.9414813518524,1260.9414813518524,11.575714349746704,2,1,1,50,50,GPU,GTX950M
0.3586549827035424,0.18932218828477507,0.3586549827035424,0.18932218828477507,102.9922182559967,102.9922182559967,11.473191499710083,256,1,1,50,50,GPU,GTX950M
0.03235277214486904,0.01219233781581729,0.03235277214486904,0.01219233781581729,162.37526607513428,162.37526607513428,11.508305072784424,32,1,1,50,50,GPU,GTX950M
0.6788294338028422,0.1909905500729573,0.6788294338028422,0.1909905500729573,107.69016170501709,107.69016170501709,11.573091745376587,512,1,1,50,50,GPU,GTX950M
0.08640322443340566,0.010933630850753032,0.08640322443340566,0.010933630850753032,160.206640958786,160.206640958786,11.86677598953247,64,1,1,50,50,GPU,GTX950M
0.031727091577896833,0.016003162437262942,0.031727091577896833,0.016003162437262942,380.9732155799866,380.9732155799866,11.650661945343018,8,1,1,50,50,GPU,GTX950M
2.058257176009226,0.7200676971635565,2.058257176009226,0.7200676971635565,38.353731870651245,38.353731870651245,5.552789211273193,1024,1,1,50,50,GPU,GTX980
0.7028233407210015,0.7200676971635565,0.7028233407210015,0.7200676971635565,42.555323123931885,42.555323123931885,5.468981027603149,128,1,1,50,50,GPU,GTX980
0.702823340309442,0.7200676971635565,0.702823340309442,0.7200676971635565,700.1858608722687,700.1858608722687,5.178979873657227,2,1,1,50,50,GPU,GTX980
0.7028233394107926,0.7200676971635565,0.7028233394107926,0.7200676971635565,36.33480167388916,36.33480167388916,5.591850996017456,256,1,1,50,50,GPU,GTX980
0.7028233398752016,0.7200676971635565,0.7028233398752016,0.7200676971635565,70.06837439537048,70.06837439537048,5.357548952102661,32,1,1,50,50,GPU,GTX980
0.7028233426682318,0.7200676971635565,0.7028233426682318,0.7200676971635565,32.57823848724365,32.57823848724365,5.434200048446655,512,1,1,50,50,GPU,GTX980
0.7028233394058607,0.7200676971635565,0.7028233394058607,0.7200676971635565,49.11485052108765,49.11485052108765,5.294999361038208,64,1,1,50,50,GPU,GTX980
0.7028233404937287,0.7200676971635565,0.7028233404937287,0.7200676971635565,192.31026029586792,192.31026029586792,5.5499725341796875,8,1,1,50,50,GPU,GTX980
0.07517092540780035,0.017866576428245195,0.07517092540780035,0.017866576428245195,1106.4649443626404,1106.4649443626404,98.78488969802856,128,1,1,50,50,CPU,IntelCorei7
0.01938756026427525,0.013574333245842302,0.01938756026427525,0.013574333245842302,5550.991659164429,5550.991659164429,97.43714499473572,2,1,1,50,50,CPU,IntelCorei7
0.20371584671555343,0.06499172014672602,0.20371584671555343,0.06499172014672602,1072.8548429012299,1072.8548429012299,100.15860986709595,256,1,1,50,50,CPU,IntelCorei7
0.02309530031171739,0.01080455076980876,0.02309530031171739,0.01080455076980876,1273.0868747234344,1273.0868747234344,99.30208683013916,32,1,1,50,50,CPU,IntelCorei7
1.0026542577901019,0.1897766293342071,1.0026542577901019,0.1897766293342071,1032.9376361370087,1032.9376361370087,99.17966771125793,512,1,1,50,50,CPU,IntelCorei7
0.18516745912702912,0.02296900594984817,0.18516745912702912,0.02296900594984817,1120.4097950458527,1120.4097950458527,98.5255479812622,64,1,1,50,50,CPU,IntelCorei7
0.018911829288334316,0.01050316910370969,0.018911829288334316,0.01050316910370969,2090.5160105228424,2090.5160105228424,98.65095138549805,8,1,1,50,50,CPU,IntelCorei7
1.4161082436530776,0.09413162559927837,1.4161082436530776,0.09413162559927837,350.842111825943,350.842111825943,57.77790689468384,1024,1,1,50,50,CPU,IntelXeonE5
0.0647269892105787,0.02085663217755419,0.0647269892105787,0.02085663217755419,357.5274269580841,357.5274269580841,57.71994662284851,128,1,1,50,50,CPU,IntelXeonE5
0.029361734947546004,0.013497692624873688,0.029361734947546004,0.013497692624873688,3532.8859355449677,3532.8859355449677,57.092947006225586,2,1,1,50,50,CPU,IntelXeonE5
0.1448632868021338,0.03476044504764988,0.1448632868021338,0.03476044504764988,344.3839178085327,344.3839178085327,57.42235851287842,256,1,1,50,50,CPU,IntelXeonE5
0.036000679936875175,0.014830321876534033,0.036000679936875175,0.014830321876534033,507.3388407230377,507.3388407230377,57.57648420333862,32,1,1,50,50,CPU,IntelXeonE5
0.21705898438179436,0.07542657383411043,0.21705898438179436,0.07542657383411043,340.11755299568176,340.11755299568176,57.09558129310608,512,1,1,50,50,CPU,IntelXeonE5
0.03731675261202261,0.01668130003351314,0.03731675261202261,0.01668130003351314,386.7157635688782,386.7157635688782,57.87793707847595,64,1,1,50,50,CPU,IntelXeonE5
0.02404551953079243,0.012703534509403461,0.02404551953079243,0.012703534509403461,1071.186923980713,1071.186923980713,57.499728202819824,8,1,1,50,50,CPU,IntelXeonE5
