net,total_time,epoch_time,step_time,mse,inference_time,parameters,name,batch_size,learning_rate,opt,model,epochs,device,topology,device_name
[100],34.83099341392517,17.407999277114868,0.01240209834479587,0.010576545,0.06395649909973145,5201,fully_connected_[100]_CPU,1000,0.001,ADAM,fully_connected,2,CPU,fully_connected,IntelCorei7
[100],61.36341977119446,30.67171549797058,0.02207115596030658,0.010549745,0.021988630294799805,5201,fully_connected_[100]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX950M
[12800],342.9083638191223,171.40121138095856,0.12525997615995862,0.010694948,0.06496167182922363,665601,fully_connected_[12800]_CPU,1000,0.001,ADAM,fully_connected,2,CPU,fully_connected,IntelCorei7
[12800],84.88043904304504,42.42472863197327,0.030711972407805613,0.010434698,0.027986764907836914,665601,fully_connected_[12800]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX950M
[1600],71.49140238761902,35.733205914497375,0.02578377583961347,0.011656947,0.020998239517211914,83201,fully_connected_[1600]_CPU,1000,0.001,ADAM,fully_connected,2,CPU,fully_connected,IntelCorei7
[1600],53.197593688964844,26.588308930397034,0.019096812223776793,0.013716364,0.023985624313354492,83201,fully_connected_[1600]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX950M
[200],38.92726111412048,19.45564079284668,0.014247011177705758,0.0101575665,0.018009424209594727,10401,fully_connected_[200]_CPU,1000,0.001,ADAM,fully_connected,2,CPU,fully_connected,IntelCorei7
[200],49.04322099685669,24.51261579990387,0.01755939857427017,0.0102767125,0.02178025245666504,10401,fully_connected_[200]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX950M
[25600],705.4289789199829,352.6130464076996,0.2564752643361633,0.010347881,0.1059255599975586,1331201,fully_connected_[25600]_CPU,1000,0.001,ADAM,fully_connected,2,CPU,fully_connected,IntelCorei7
[25600],134.42302584648132,67.18902385234833,0.0486596751999069,0.010443722,0.038977622985839844,1331201,fully_connected_[25600]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX950M
[3200],108.73059725761414,54.3473082780838,0.04000656194302625,0.012532083,0.0279843807220459,166401,fully_connected_[3200]_CPU,1000,0.001,ADAM,fully_connected,2,CPU,fully_connected,IntelCorei7
[3200],70.26779317855835,35.12290120124817,0.025383081890287852,0.01370804,0.029987573623657227,166401,fully_connected_[3200]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX950M
[400],41.994120836257935,20.989063620567322,0.015123489226177062,0.01059728,0.020974159240722656,20801,fully_connected_[400]_CPU,1000,0.001,ADAM,fully_connected,2,CPU,fully_connected,IntelCorei7
[400],62.32258605957031,31.15129828453064,0.022442634463746905,0.010932287,0.02200007438659668,20801,fully_connected_[400]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX950M
[50],34.15501952171326,17.069512009620667,0.012178109591697161,0.01088142,0.016977548599243164,2601,fully_connected_[50]_CPU,1000,0.001,ADAM,fully_connected,2,CPU,fully_connected,IntelCorei7
[50],49.65678405761719,24.818904042243958,0.017945146386003318,0.010600252,0.027982234954833984,2601,fully_connected_[50]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX950M
[6400],184.00966334342957,91.97584807872772,0.06806885052076626,0.012702244,0.04897260665893555,332801,fully_connected_[6400]_CPU,1000,0.001,ADAM,fully_connected,2,CPU,fully_connected,IntelCorei7
[6400],66.76841640472412,33.371203660964966,0.02405860397841904,0.011402322,0.03098130226135254,332801,fully_connected_[6400]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX950M
[800],49.26484155654907,24.623939156532288,0.01741323174137772,0.013528638,0.019987106323242188,41601,fully_connected_[800]_CPU,1000,0.001,ADAM,fully_connected,2,CPU,fully_connected,IntelCorei7
[800],63.630499839782715,31.804756999015808,0.022961273298158752,0.012049784,0.02300548553466797,41601,fully_connected_[800]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX950M
[100  50],43.24494385719299,21.614093899726868,0.015363058502420838,0.00999098,0.019988059997558594,10201,fully_connected_[100  50]_CPU,1000,0.001,ADAM,fully_connected,2,CPU,fully_connected,IntelCorei7
[100  50],69.18701815605164,34.58312499523163,0.02599100804590917,0.010450529,0.030980825424194336,10201,fully_connected_[100  50]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX950M
[1600  800],338.85533833503723,169.3861917257309,0.12464082703922258,0.009455611,0.0602116584777832,1363201,fully_connected_[1600  800]_CPU,1000,0.001,ADAM,fully_connected,2,CPU,fully_connected,IntelCorei7
[1600  800],87.3740496635437,43.672996044158936,0.03179546083722796,0.009698264,0.02898263931274414,1363201,fully_connected_[1600  800]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX950M
[200 100],49.31810736656189,24.64956545829773,0.017388312021891277,0.009994479,0.0199887752532959,30401,fully_connected_[200 100]_CPU,1000,0.001,ADAM,fully_connected,2,CPU,fully_connected,IntelCorei7
[200 100],60.95138335227966,30.465380907058716,0.02202909665229993,0.009792279,0.025984764099121094,30401,fully_connected_[200 100]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX950M
[3200 1600],1145.6854157447815,572.6987901926041,0.41461103984287806,0.009243896,0.14590215682983398,5286401,fully_connected_[3200 1600]_CPU,1000,0.001,ADAM,fully_connected,2,CPU,fully_connected,IntelCorei7
[3200 1600],156.08606505393982,78.0210393667221,0.05659345567444742,0.009197803,0.04238557815551758,5286401,fully_connected_[3200 1600]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX950M
[400 200],73.47134256362915,36.72317898273468,0.024491960923750323,0.009380365,0.026986360549926758,100801,fully_connected_[400 200]_CPU,1000,0.001,ADAM,fully_connected,2,CPU,fully_connected,IntelCorei7
[400 200],66.10613179206848,33.04298150539398,0.024072032970386546,0.009486813,0.024999380111694336,100801,fully_connected_[400 200]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX950M
[50 25],44.37784242630005,22.180498957633972,0.01521881945403941,0.010582795,0.019000768661499023,3851,fully_connected_[50 25]_CPU,1000,0.001,ADAM,fully_connected,2,CPU,fully_connected,IntelCorei7
[50 25],60.273117542266846,30.126262307167053,0.02155239293863485,0.0102594085,0.024971485137939453,3851,fully_connected_[50 25]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX950M
[6400 3200],4207.010538578033,2103.005554676056,1.5443360880617694,0.009315647,0.5031249523162842,20812801,fully_connected_[6400 3200]_CPU,1000,0.001,ADAM,fully_connected,2,CPU,fully_connected,IntelCorei7
[6400 3200],414.6098771095276,207.2528876066208,0.15145107136541233,0.009139067,0.0719444751739502,20812801,fully_connected_[6400 3200]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX950M
[800 400],142.92730283737183,71.44666087627411,0.04995141308822911,0.009246429,0.03198122978210449,361601,fully_connected_[800 400]_CPU,1000,0.001,ADAM,fully_connected,2,CPU,fully_connected,IntelCorei7
[800 400],69.6822121143341,34.82985210418701,0.024774231753506504,0.008891961,0.026995420455932617,361601,fully_connected_[800 400]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX950M
[100  50  26],52.71599078178406,26.348013758659363,0.018921170915876116,0.010165561,0.021986961364746094,11503,fully_connected_[100  50  26]_CPU,1000,0.001,ADAM,fully_connected,2,CPU,fully_connected,IntelCorei7
[100  50  26],84.79852938652039,42.3867723941803,0.03198092271993448,0.010551567,0.02797102928161621,11503,fully_connected_[100  50  26]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX950M
[1600  800  416],410.94091534614563,205.41698598861694,0.1520609132536165,0.009435106,0.06596183776855469,1696033,fully_connected_[1600  800  416]_CPU,1000,0.001,ADAM,fully_connected,2,CPU,fully_connected,IntelCorei7
[1600  800  416],113.59003472328186,56.779032707214355,0.044214286210336094,0.009324485,0.03298163414001465,1696033,fully_connected_[1600  800  416]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX950M
[200 100  52],64.01659083366394,31.99781370162964,0.02516308075342423,0.009693969,0.02298736572265625,35605,fully_connected_[200 100  52]_CPU,1000,0.001,ADAM,fully_connected,2,CPU,fully_connected,IntelCorei7
[200 100  52],69.49323439598083,34.73512327671051,0.02499879463251694,0.009102888,0.02799367904663086,35605,fully_connected_[200 100  52]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX950M
[3200 1600  832],1400.35195851326,700.0040757656097,0.5151214180411873,0.009342778,0.18088245391845703,6617665,fully_connected_[3200 1600  832]_CPU,1000,0.001,ADAM,fully_connected,2,CPU,fully_connected,IntelCorei7
[3200 1600  832],188.98349690437317,94.46625638008118,0.0686937459659227,0.009728947,0.05598163604736328,6617665,fully_connected_[3200 1600  832]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX950M
[400 200 104],78.76193332672119,39.36747980117798,0.02830326321360829,0.009236994,0.025984525680541992,121609,fully_connected_[400 200 104]_CPU,1000,0.001,ADAM,fully_connected,2,CPU,fully_connected,IntelCorei7
[400 200 104],71.42319893836975,35.69810688495636,0.025675407346788342,0.009281545,0.029969215393066406,121609,fully_connected_[400 200 104]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX950M
[50 25 13],57.08351254463196,28.532262086868286,0.02044138192257165,0.0103236195,0.027986764907836914,4177,fully_connected_[50 25 13]_CPU,1000,0.001,ADAM,fully_connected,2,CPU,fully_connected,IntelCorei7
[50 25 13],73.33510112762451,36.65556347370148,0.027619098307012202,0.010464141,0.02797222137451172,4177,fully_connected_[50 25 13]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX950M
[6400 3200 1664],5277.2082641124725,2637.9765273332596,1.9492848698472802,0.009337988,0.6166701316833496,26137729,fully_connected_[6400 3200 1664]_CPU,1000,0.001,ADAM,fully_connected,2,CPU,fully_connected,IntelCorei7
[6400 3200 1664],514.379376411438,257.1277234554291,0.18787666118188656,0.009453568,0.08297085762023926,26137729,fully_connected_[6400 3200 1664]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX950M
[800 400 208],147.31173133850098,73.63437676429749,0.05432636606824267,0.009230264,0.04102134704589844,444817,fully_connected_[800 400 208]_CPU,1000,0.001,ADAM,fully_connected,2,CPU,fully_connected,IntelCorei7
[800 400 208],79.86237716674805,39.91870200634003,0.028813450851719893,0.009497732,0.029983043670654297,444817,fully_connected_[800 400 208]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX950M
[100],11.136266469955444,5.5549468994140625,0.003744379330030728,0.010529197,0.013213157653808594,5201,fully_connected_[100]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX1080
[12800],17.347456216812134,8.659338235855103,0.006040242128756456,0.01076434,0.015167951583862305,665601,fully_connected_[12800]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX1080
[1600],11.332272291183472,5.653238654136658,0.003811248318179623,0.012612143,0.013304948806762695,83201,fully_connected_[1600]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX1080
[200],11.182639598846436,5.57869029045105,0.003801913313813262,0.01102145,0.013309001922607422,10401,fully_connected_[200]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX1080
[3200],11.718871831893921,5.845966219902039,0.003961242598928375,0.011720443,0.012199640274047852,166401,fully_connected_[3200]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX1080
[400],11.178138732910156,5.576565384864807,0.0037551546271467383,0.013884493,0.013841629028320313,20801,fully_connected_[400]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX1080
[50],11.62268328666687,5.797789096832275,0.003837809021219666,0.010481303,0.01329660415649414,2601,fully_connected_[50]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX1080
[6400],13.189627885818481,6.580885410308838,0.00452225583813566,0.013072394,0.013496875762939453,332801,fully_connected_[6400]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX1080
[800],11.279868602752686,5.626758456230164,0.0037997551453419222,0.014926559,0.01340627670288086,41601,fully_connected_[800]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX1080
[100  50],12.878637075424194,6.424647927284241,0.0044624440399281705,0.009812887,0.013978719711303711,10201,fully_connected_[100  50]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX1080
[12800  6400],271.20162177085876,135.5641506910324,0.09977075555822351,0.009272289,0.037163734436035156,82585601,fully_connected_[12800  6400]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX1080
[1600  800],14.738892078399658,7.353669166564941,0.005038228925767835,0.009888177,0.016012907028198242,1363201,fully_connected_[1600  800]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX1080
[200 100],13.142804861068726,6.557169556617737,0.004402748743693034,0.009548303,0.014669418334960938,30401,fully_connected_[200 100]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX1080
[3200 1600],24.817068815231323,12.391595721244812,0.008767480291289724,0.009633407,0.016005992889404297,5286401,fully_connected_[3200 1600]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX1080
[400 200],13.187562704086304,6.579336166381836,0.004417258566552466,0.009217954,0.013459444046020508,100801,fully_connected_[400 200]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX1080
[50 25],12.99460744857788,6.482517838478088,0.004297347819848812,0.010430865,0.014665603637695313,3851,fully_connected_[50 25]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX1080
[6400 3200],64.08861780166626,32.02403259277344,0.023154006860195062,0.009212865,0.019501686096191406,20812801,fully_connected_[6400 3200]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX1080
[800 400],13.113534212112427,6.541759490966797,0.004470626600496062,0.009105332,0.014954566955566406,361601,fully_connected_[800 400]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX1080
[100],12.879817724227905,6.427496433258057,0.0043406919681982245,0.01025406,0.010809183120727539,5201,fully_connected_[100]_CPU,1000,0.001,ADAM,fully_connected,2,CPU,fully_connected,IntelXeonE5
[100],10.949457883834839,5.460777759552002,0.0036842706002595225,0.010427131,0.012980937957763672,5201,fully_connected_[100]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX980
[12800],115.53013181686401,57.73689079284668,0.041832756384825094,0.010554193,0.03154349327087402,665601,fully_connected_[12800]_CPU,1000,0.001,ADAM,fully_connected,2,CPU,fully_connected,IntelXeonE5
[12800],17.39878225326538,8.684485793113708,0.0060408045520712605,0.01079766,0.014102935791015625,665601,fully_connected_[12800]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX980
[1600],26.5029718875885,13.238406300544739,0.009360656982813126,0.011967757,0.013491392135620117,83201,fully_connected_[1600]_CPU,1000,0.001,ADAM,fully_connected,2,CPU,fully_connected,IntelXeonE5
[1600],11.092564105987549,5.533024787902832,0.003713400110656962,0.013525408,0.01329803466796875,83201,fully_connected_[1600]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX980
[200],15.363247394561768,7.669765591621399,0.005200347096928746,0.010522087,0.011125564575195313,10401,fully_connected_[200]_CPU,1000,0.001,ADAM,fully_connected,2,CPU,fully_connected,IntelXeonE5
[200],10.776165962219238,5.374498724937439,0.0035958201020628543,0.010710916,0.013368606567382813,10401,fully_connected_[200]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX980
[25600],250.7967746257782,125.3495421409607,0.09130691189468998,0.010304474,0.051265716552734375,1331201,fully_connected_[25600]_CPU,1000,0.001,ADAM,fully_connected,2,CPU,fully_connected,IntelXeonE5
[25600],26.13798213005066,13.051308035850525,0.00922838148179945,0.010209063,0.015079498291015625,1331201,fully_connected_[25600]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX980
[3200],38.94728970527649,19.457780838012695,0.013885279714842855,0.011342922,0.015098333358764648,166401,fully_connected_[3200]_CPU,1000,0.001,ADAM,fully_connected,2,CPU,fully_connected,IntelXeonE5
[3200],11.544675588607788,5.759359836578369,0.003913237673022371,0.01332434,0.012399673461914063,166401,fully_connected_[3200]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX980
[400],17.621252059936523,8.799119591712952,0.006049790749183068,0.010395094,0.010763168334960938,20801,fully_connected_[400]_CPU,1000,0.001,ADAM,fully_connected,2,CPU,fully_connected,IntelXeonE5
[400],10.913480758666992,5.443091988563538,0.003649454151754414,0.011125969,0.013352394104003906,20801,fully_connected_[400]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX980
[50],9.887003660202026,4.932097434997559,0.0031212198865282668,0.010288153,0.010762929916381836,2601,fully_connected_[50]_CPU,1000,0.001,ADAM,fully_connected,2,CPU,fully_connected,IntelXeonE5
[50],11.284183263778687,5.627925872802734,0.003732815242948986,0.010634265,0.01196908950805664,2601,fully_connected_[50]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX980
[6400],64.64131999015808,32.30110847949982,0.023204038780687494,0.011377304,0.022558212280273438,332801,fully_connected_[6400]_CPU,1000,0.001,ADAM,fully_connected,2,CPU,fully_connected,IntelXeonE5
[6400],12.824202299118042,6.398577332496643,0.004358745232606546,0.011866356,0.012980937957763672,332801,fully_connected_[6400]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX980
[800],24.24954867362976,12.112395882606506,0.008507268332736396,0.012382956,0.012482404708862305,41601,fully_connected_[800]_CPU,1000,0.001,ADAM,fully_connected,2,CPU,fully_connected,IntelXeonE5
[800],11.010682344436646,5.490733027458191,0.0037242466713482644,0.0114922905,0.01408696174621582,41601,fully_connected_[800]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX980
[100  50],17.272753477096558,8.623067378997803,0.005901151349692991,0.010391571,0.011578559875488281,10201,fully_connected_[100  50]_CPU,1000,0.001,ADAM,fully_connected,2,CPU,fully_connected,IntelXeonE5
[100  50],12.725923776626587,6.348358988761902,0.004365856743557549,0.009778951,0.012725591659545898,10201,fully_connected_[100  50]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX980
[12800  6400],2071.7968463897705,1035.6436290740967,0.7575517132168724,0.009452623,0.2681996822357178,82585601,fully_connected_[12800  6400]_CPU,1000,0.001,ADAM,fully_connected,2,CPU,fully_connected,IntelXeonE5
[12800  6400],270.7434287071228,135.33521270751953,0.09932591644398896,0.009484003,0.038085222244262695,82585601,fully_connected_[12800  6400]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX980
[1600  800],66.83629417419434,33.400235295295715,0.02400564920334589,0.009266921,0.021080493927001953,1363201,fully_connected_[1600  800]_CPU,1000,0.001,ADAM,fully_connected,2,CPU,fully_connected,IntelXeonE5
[1600  800],14.905436515808105,7.437090277671814,0.005095055164434971,0.009385673,0.016810894012451172,1363201,fully_connected_[1600  800]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX980
[200 100],20.008262157440186,9.99047589302063,0.006897857162978623,0.009569549,0.011585712432861328,30401,fully_connected_[200 100]_CPU,1000,0.001,ADAM,fully_connected,2,CPU,fully_connected,IntelXeonE5
[200 100],12.900029420852661,6.433969974517822,0.004414966080214951,0.009873831,0.013916015625,30401,fully_connected_[200 100]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX980
[3200 1600],161.527010679245,80.73279428482056,0.05863360240782574,0.009296461,0.041620492935180664,5286401,fully_connected_[3200 1600]_CPU,1000,0.001,ADAM,fully_connected,2,CPU,fully_connected,IntelXeonE5
[3200 1600],24.758416652679443,12.362577199935913,0.008736290949168222,0.009103506,0.016762971878051758,5286401,fully_connected_[3200 1600]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX980
[400 200],25.27942132949829,12.626153826713562,0.008866971753019117,0.009090045,0.013924121856689453,100801,fully_connected_[400 200]_CPU,1000,0.001,ADAM,fully_connected,2,CPU,fully_connected,IntelXeonE5
[400 200],12.938244342803955,6.453854918479919,0.004353444480197334,0.009608274,0.013623237609863281,100801,fully_connected_[400 200]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX980
[50 25],13.310981512069702,6.642176508903503,0.004633953632452549,0.010529505,0.011466503143310547,3851,fully_connected_[50 25]_CPU,1000,0.001,ADAM,fully_connected,2,CPU,fully_connected,IntelXeonE5
[50 25],13.160063028335571,6.5653088092803955,0.004311076538030045,0.010283276,0.012294292449951172,3851,fully_connected_[50 25]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX980
[6400 3200],535.2587847709656,267.5583118200302,0.19545437564779988,0.009422655,0.08912992477416992,20812801,fully_connected_[6400 3200]_CPU,1000,0.001,ADAM,fully_connected,2,CPU,fully_connected,IntelXeonE5
[6400 3200],64.07409596443176,32.0165091753006,0.02318261953500601,0.00957122,0.01904129981994629,20812801,fully_connected_[6400 3200]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX980
[800 400],37.42647433280945,18.69812524318695,0.01332815191247961,0.0091431225,0.014482259750366211,361601,fully_connected_[800 400]_CPU,1000,0.001,ADAM,fully_connected,2,CPU,fully_connected,IntelXeonE5
[800 400],13.083915948867798,6.524996042251587,0.004485612911182445,0.009471735,0.014386892318725586,361601,fully_connected_[800 400]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX980
[100  50  26],19.882150411605835,9.926365494728088,0.006815692356654576,0.009391592,0.012476444244384766,11503,fully_connected_[100  50  26]_CPU,1000,0.001,ADAM,fully_connected,2,CPU,fully_connected,IntelXeonE5
[100  50  26],14.610799074172974,7.288161873817444,0.004950314651042113,0.009621899,0.015050649642944336,11503,fully_connected_[100  50  26]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX980
[12800  6400  3328],2562.1806650161743,1280.7760581970215,0.9373167100843492,0.00941391,0.32772302627563477,103885057,fully_connected_[12800  6400  3328]_CPU,1000,0.001,ADAM,fully_connected,2,CPU,fully_connected,IntelXeonE5
[12800  6400  3328],329.1075050830841,164.50903046131134,0.12081823139400273,0.00943071,0.04297590255737305,103885057,fully_connected_[12800  6400  3328]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX980
[1600  800  416],82.84767484664917,41.40242576599121,0.0298475090837304,0.0092278235,0.027621746063232422,1696033,fully_connected_[1600  800  416]_CPU,1000,0.001,ADAM,fully_connected,2,CPU,fully_connected,IntelXeonE5
[1600  800  416],17.06184673309326,8.513328552246094,0.005961584957528027,0.009022377,0.014687299728393555,1696033,fully_connected_[1600  800  416]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX980
[200 100  52],23.950183153152466,11.959719896316528,0.008374869867122218,0.00926264,0.012973785400390625,35605,fully_connected_[200 100  52]_CPU,1000,0.001,ADAM,fully_connected,2,CPU,fully_connected,IntelXeonE5
[200 100  52],14.527810096740723,7.246932864189148,0.004991911619137495,0.009364199,0.01603078842163086,35605,fully_connected_[200 100  52]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX980
[3200 1600  832],203.0245862007141,101.47633588314056,0.07381108270023332,0.009349037,0.05258369445800781,6617665,fully_connected_[3200 1600  832]_CPU,1000,0.001,ADAM,fully_connected,2,CPU,fully_connected,IntelXeonE5
[3200 1600  832],29.748641967773438,14.85555350780487,0.010522964323833312,0.00902516,0.01630687713623047,6617665,fully_connected_[3200 1600  832]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX980
[400 200 104],29.8604576587677,14.9148428440094,0.010553321558913906,0.009150438,0.013843297958374023,121609,fully_connected_[400 200 104]_CPU,1000,0.001,ADAM,fully_connected,2,CPU,fully_connected,IntelXeonE5
[400 200 104],14.701668739318848,7.333105683326721,0.005051335135659018,0.00905273,0.013864517211914063,121609,fully_connected_[400 200 104]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX980
[50 25 13],15.883981943130493,7.9277503490448,0.005252256847563244,0.010149239,0.01296687126159668,4177,fully_connected_[50 25 13]_CPU,1000,0.001,ADAM,fully_connected,2,CPU,fully_connected,IntelXeonE5
[50 25 13],14.707924604415894,7.33643639087677,0.0048662332388070915,0.010207358,0.016357898712158203,4177,fully_connected_[50 25 13]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX980
[6400 3200 1664],662.5955696105957,331.2099144458771,0.24213299663948926,0.009503301,0.09996461868286133,26137729,fully_connected_[6400 3200 1664]_CPU,1000,0.001,ADAM,fully_connected,2,CPU,fully_connected,IntelXeonE5
[6400 3200 1664],79.00502586364746,39.47818922996521,0.028648108877105154,0.009229508,0.03432321548461914,26137729,fully_connected_[6400 3200 1664]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX980
[800 400 208],44.78236484527588,22.374562621116638,0.015990054301726512,0.008967262,0.01591944694519043,444817,fully_connected_[800 400 208]_CPU,1000,0.001,ADAM,fully_connected,2,CPU,fully_connected,IntelXeonE5
[800 400 208],15.268736362457275,7.61667799949646,0.00534209104684683,0.009035916,0.018283367156982422,444817,fully_connected_[800 400 208]_GPU,1000,0.001,ADAM,fully_connected,2,GPU,fully_connected,GTX980
